qubit_num,typeT1T2,time,mean,std
0,T1,2023-09-12 12:01:11,115.68321186672864,1.591650559280998
1,T1,2023-09-12 12:01:11,133.03775258644987,1.9265356400415727
2,T1,2023-09-12 12:01:11,58.710257968347115,0.676804937301688
3,T1,2023-09-12 12:01:11,131.92302691923382,1.9043455202021187
4,T1,2023-09-12 12:01:11,88.94491586345774,1.1232956083824572
5,T1,2023-09-12 12:01:11,101.76395282962258,1.3402071662705035
6,T1,2023-09-12 12:01:11,96.80618426273146,1.254582220559766
7,T1,2023-09-12 12:01:11,100.90059745761329,1.3251432094825106
8,T1,2023-09-12 12:01:11,265.61181226691326,5.130137178730692
9,T1,2023-09-12 12:01:11,95.85611057929447,1.2384193758931765
10,T1,2023-09-12 12:01:11,88.74669250563292,1.1200585442578082
11,T1,2023-09-12 12:01:11,135.659926471139,1.9790909414658548
12,T1,2023-09-12 12:01:11,155.54563121793194,2.3934866364122804
13,T1,2023-09-12 12:01:11,156.6002417324256,2.41622243281893
14,T1,2023-09-12 12:01:11,149.11316857247053,2.256441114919914
15,T1,2023-09-12 12:01:11,194.1520723248189,3.272535335703663
16,T1,2023-09-12 12:01:11,127.2333447967579,1.8119956109994337
17,T1,2023-09-12 12:01:11,47.204732260758725,0.5378345274507369
18,T1,2023-09-12 12:01:11,113.8723697465186,1.558046758980749
19,T1,2023-09-12 12:01:11,138.96085091236105,2.0459565571431764
20,T1,2023-09-12 12:01:11,97.15024611928698,1.2604551662062162
21,T1,2023-09-12 12:01:11,108.20715732301011,1.4546199679791194
22,T1,2023-09-12 12:01:11,97.99013191916224,1.2748353258245697
23,T1,2023-09-12 12:01:11,107.21199848515168,1.4367224014396567
24,T1,2023-09-12 12:01:11,121.40061547677288,1.6994401205640313
25,T1,2023-09-12 12:01:11,147.42596127362424,2.2209628688550294
26,T1,2023-09-12 12:01:11,77.13727714090402,0.9371201058584034
0,T1,2023-09-12 12:51:02,130.5305531528543,1.876754687891136
1,T1,2023-09-12 12:51:02,125.61310939908097,1.7804710121141807
2,T1,2023-09-12 12:51:02,62.674148078035486,0.7293026895928847
3,T1,2023-09-12 12:51:02,145.1302996828062,2.173006534837532
4,T1,2023-09-12 12:51:02,78.89260418116886,0.9639148390548602
5,T1,2023-09-12 12:51:02,94.24186810673321,1.211141902662662
6,T1,2023-09-12 12:51:02,107.62054651453796,1.4440600930187963
7,T1,2023-09-12 12:51:02,117.54688020287902,1.6265055223842633
8,T1,2023-09-12 12:51:02,285.19261371438887,5.686496478442457
9,T1,2023-09-12 12:51:02,105.0475134596128,1.3980786880967924
10,T1,2023-09-12 12:51:02,78.404489630757,0.9564318495581534
11,T1,2023-09-12 12:51:02,136.1939966149316,1.989856244077734
12,T1,2023-09-12 12:51:02,153.15596365121223,2.3422460824226614
13,T1,2023-09-12 12:51:02,145.92582178393144,2.18958352755288
14,T1,2023-09-12 12:51:02,180.30473317108766,2.9464430746126284
15,T1,2023-09-12 12:51:02,224.0085220799562,4.014247962181362
16,T1,2023-09-12 12:51:02,138.29424955505323,2.0323904587934547
17,T1,2023-09-12 12:51:02,54.386959925937994,0.6220686529835471
18,T1,2023-09-12 12:51:02,126.4516675836375,1.7967620293705
19,T1,2023-09-12 12:51:02,143.69504490744592,2.143210588071848
20,T1,2023-09-12 12:51:02,132.3352633827299,1.9125410332153399
21,T1,2023-09-12 12:51:02,100.08598535827028,1.3109885019671985
22,T1,2023-09-12 12:51:02,104.34437728504125,1.3856095070003314
23,T1,2023-09-12 12:51:02,105.52302910248414,1.4065348290657216
24,T1,2023-09-12 12:51:02,90.49109442764298,1.1486711449936127
25,T1,2023-09-12 12:51:02,189.6314298093278,3.1647933297897266
26,T1,2023-09-12 12:51:02,80.63898223861914,0.9908870107111556
0,T1,2023-09-12 13:07:56,127.40730552698926,1.8153920481765824
1,T1,2023-09-12 13:07:56,149.09508337926832,2.256059783719432
2,T1,2023-09-12 13:07:56,62.4050858655038,0.7256733134266302
3,T1,2023-09-12 13:07:56,126.2414655179598,1.7926733738090248
4,T1,2023-09-12 13:07:56,75.82969938899201,0.9173694178009236
5,T1,2023-09-12 13:07:56,99.22510575202843,1.2960922013938143
6,T1,2023-09-12 13:07:56,106.8092777269459,1.429502894985883
7,T1,2023-09-12 13:07:56,119.75106127716069,1.6680800705390735
8,T1,2023-09-12 13:07:56,293.57994272287533,5.930651541279101
9,T1,2023-09-12 13:07:56,105.5393966223203,1.40682623112631
10,T1,2023-09-12 13:07:56,90.63003720827615,1.1509623127450794
11,T1,2023-09-12 13:07:56,138.693643950866,2.0405147770830414
12,T1,2023-09-12 13:07:56,153.05790942041804,2.3401517938030274
13,T1,2023-09-12 13:07:56,153.7193136115613,2.3542909954723914
14,T1,2023-09-12 13:07:56,197.1696951342091,3.345138289682842
15,T1,2023-09-12 13:07:56,211.02460170587793,3.68537408135123
16,T1,2023-09-12 13:07:56,149.83803801239793,2.271743675755551
17,T1,2023-09-12 13:07:56,56.75011015624121,0.6516465508997044
18,T1,2023-09-12 13:07:56,119.01281489904974,1.6541133479789658
19,T1,2023-09-12 13:07:56,130.6296429097394,1.8787133542767644
20,T1,2023-09-12 13:07:56,129.07396205460705,1.8480467036718362
21,T1,2023-09-12 13:07:56,101.9495137952642,1.3434531980802207
22,T1,2023-09-12 13:07:56,112.866741312605,1.539498234793082
23,T1,2023-09-12 13:07:56,120.43335542240446,1.6810258268840106
24,T1,2023-09-12 13:07:56,124.79818959051623,1.7646900688468612
25,T1,2023-09-12 13:07:56,140.51991918030885,2.0778090747709244
