Execution Time,Expectation Value,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11,State_12,State_13,State_14,State_15
1.3094823360443115,0.794,0.43,0.004,0.006,0.004,0.014,0.0,0.0,0.015,0.042,0.0,0.0,0.012,0.002,0.006,0.004,0.461
1.2161924839019775,0.824,0.437,0.006,0.002,0.004,0.011,0.0,0.0,0.011,0.034,0.0,0.001,0.009,0.0,0.008,0.007,0.47
1.249253511428833,0.758,0.416,0.011,0.008,0.003,0.014,0.001,0.0,0.013,0.037,0.0,0.0,0.018,0.001,0.014,0.006,0.458
1.3419373035430908,0.822,0.448,0.008,0.007,0.001,0.007,0.0,0.0,0.016,0.031,0.002,0.001,0.012,0.001,0.004,0.004,0.458
1.3338143825531006,0.804,0.423,0.005,0.009,0.003,0.009,0.0,0.0,0.016,0.03,0.001,0.001,0.016,0.002,0.008,0.005,0.472
1.3202178478240967,0.8,0.449,0.008,0.003,0.002,0.012,0.0,0.0,0.012,0.035,0.001,0.0,0.014,0.003,0.01,0.006,0.445
1.3063957691192627,0.78,0.457,0.007,0.006,0.003,0.01,0.001,0.0,0.015,0.05,0.004,0.0,0.012,0.004,0.008,0.002,0.421
1.3129091262817383,0.786,0.438,0.005,0.006,0.002,0.014,0.0,0.0,0.009,0.041,0.002,0.0,0.02,0.002,0.006,0.006,0.449
1.362483024597168,0.814,0.436,0.003,0.009,0.002,0.009,0.0,0.0,0.012,0.031,0.001,0.001,0.016,0.003,0.009,0.004,0.464
1.3902571201324463,0.792,0.427,0.006,0.007,0.005,0.014,0.0,0.0,0.012,0.041,0.0,0.0,0.009,0.002,0.012,0.003,0.462
1.2842938899993896,0.772,0.456,0.005,0.009,0.002,0.012,0.0,0.0,0.008,0.053,0.001,0.0,0.013,0.001,0.011,0.003,0.426
1.4155709743499756,0.804,0.448,0.003,0.005,0.004,0.007,0.0,0.0,0.015,0.042,0.0,0.002,0.013,0.001,0.008,0.005,0.447
1.3494527339935303,0.806,0.436,0.008,0.002,0.002,0.01,0.0,0.0,0.016,0.037,0.0,0.001,0.01,0.002,0.009,0.005,0.462
1.3427832126617432,0.806,0.452,0.005,0.012,0.005,0.011,0.0,0.0,0.015,0.03,0.001,0.001,0.007,0.002,0.014,0.003,0.442
1.3177337646484375,0.77,0.429,0.003,0.006,0.005,0.01,0.0,0.0,0.015,0.048,0.0,0.001,0.012,0.0,0.015,0.006,0.45
1.6008405685424805,0.786,0.398,0.009,0.004,0.003,0.01,0.0,0.0,0.008,0.049,0.002,0.001,0.017,0.0,0.006,0.004,0.489
1.435027837753296,0.772,0.454,0.004,0.012,0.002,0.011,0.0,0.0,0.015,0.046,0.001,0.001,0.016,0.002,0.004,0.006,0.426
1.5806665420532227,0.814,0.429,0.006,0.004,0.006,0.012,0.001,0.0,0.009,0.032,0.0,0.002,0.017,0.003,0.009,0.004,0.466
1.7163445949554443,0.784,0.437,0.007,0.008,0.004,0.011,0.0,0.0,0.022,0.032,0.001,0.001,0.01,0.003,0.016,0.002,0.446
1.9537994861602783,0.824,0.454,0.001,0.006,0.0,0.004,0.0,0.001,0.009,0.039,0.001,0.0,0.013,0.0,0.009,0.007,0.456
1.511833906173706,0.838,0.425,0.006,0.008,0.003,0.004,0.001,0.0,0.01,0.027,0.004,0.001,0.014,0.004,0.008,0.004,0.481
1.4028003215789795,0.824,0.428,0.002,0.01,0.005,0.017,0.0,0.0,0.009,0.023,0.002,0.0,0.012,0.002,0.014,0.001,0.475
1.2298917770385742,0.79,0.425,0.01,0.006,0.003,0.012,0.001,0.001,0.009,0.043,0.0,0.003,0.012,0.0,0.008,0.005,0.462
1.2558917999267578,0.782,0.446,0.007,0.006,0.003,0.012,0.0,0.0,0.01,0.049,0.001,0.001,0.013,0.002,0.007,0.005,0.438
1.352224349975586,0.796,0.421,0.007,0.008,0.003,0.01,0.0,0.0,0.013,0.039,0.001,0.002,0.013,0.002,0.007,0.005,0.469
1.2390639781951904,0.808,0.455,0.008,0.01,0.001,0.004,0.0,0.0,0.015,0.032,0.0,0.0,0.015,0.0,0.005,0.007,0.448
1.43764328956604,0.812,0.429,0.008,0.009,0.002,0.01,0.002,0.001,0.01,0.028,0.0,0.002,0.01,0.002,0.014,0.005,0.468
1.3471906185150146,0.796,0.439,0.007,0.009,0.002,0.008,0.0,0.0,0.01,0.039,0.0,0.002,0.016,0.003,0.011,0.002,0.452
1.3288540840148926,0.82,0.453,0.007,0.005,0.001,0.011,0.0,0.0,0.013,0.03,0.001,0.0,0.013,0.002,0.006,0.005,0.453
1.435161828994751,0.816,0.454,0.005,0.006,0.003,0.008,0.0,0.0,0.018,0.028,0.0,0.001,0.006,0.001,0.013,0.008,0.449
1.2602667808532715,0.808,0.432,0.008,0.005,0.0,0.015,0.0,0.0,0.009,0.036,0.001,0.0,0.013,0.005,0.007,0.003,0.466
1.3998942375183105,0.774,0.424,0.006,0.007,0.003,0.015,0.001,0.0,0.01,0.042,0.001,0.001,0.021,0.005,0.007,0.005,0.452
1.353147268295288,0.778,0.436,0.006,0.009,0.005,0.014,0.0,0.0,0.008,0.046,0.0,0.0,0.014,0.002,0.01,0.004,0.446
1.2957842350006104,0.808,0.449,0.002,0.01,0.003,0.014,0.0,0.0,0.01,0.032,0.0,0.001,0.011,0.004,0.013,0.004,0.447
1.3004441261291504,0.806,0.439,0.006,0.005,0.002,0.009,0.001,0.001,0.009,0.045,0.001,0.0,0.01,0.0,0.01,0.003,0.459
1.2927098274230957,0.782,0.414,0.015,0.005,0.003,0.012,0.002,0.0,0.016,0.034,0.001,0.0,0.012,0.002,0.009,0.006,0.469
1.2941007614135742,0.808,0.439,0.002,0.004,0.003,0.01,0.001,0.002,0.012,0.032,0.0,0.003,0.016,0.005,0.011,0.009,0.451
