Date,Predicted Lower Bound_Z,Predicted Upper Bound_Z
2024-03-01 14:00:00,-0.017130138280947838,0.10759677659569489
2024-03-02 14:00:00,-0.01843593541826788,0.10629097945837485
2024-03-03 14:00:00,-0.015416814874072704,0.10931010000257002
2024-03-04 14:00:00,-0.019342414497544203,0.10538450037909852
2024-03-05 14:00:00,-0.018225810884644422,0.1065011039919983
2024-03-06 14:00:00,-0.017555489598919782,0.10717142527772294
2024-03-07 14:00:00,-0.019054487741698656,0.10567242713494407
2024-03-08 14:00:00,-0.018887408937473926,0.1058395059391688
2024-03-09 14:00:00,-0.021717676355649862,0.10300923852099286
2024-03-10 14:00:00,-0.020186682625820074,0.10454023225082265
2024-03-11 14:00:00,-0.0190693632915217,0.10565755158512102
2024-03-12 14:00:00,-0.02065020140554491,0.10407671347109781
2024-03-13 14:00:00,-0.013071010749002132,0.11165590412764059
2024-03-14 14:00:00,-0.013434608395357761,0.11129230648128496
2024-03-15 14:00:00,-0.019590284138132963,0.10513663073850976
2024-03-16 14:00:00,-0.019997216689546737,0.10472969818709599
2024-03-17 14:00:00,-0.01889703182797614,0.10582988304866658
2024-03-18 14:00:00,-0.019008455260803137,0.10571845961583959
2024-03-19 14:00:00,-0.018974604479183588,0.10575231039745914
2024-03-20 14:00:00,-0.022134511659999523,0.1025924032166432
2024-03-21 14:00:00,-0.022383702381660375,0.10234321249498235
2024-03-22 14:00:00,-0.022247393543978367,0.10247952133266436
2024-03-23 14:00:00,-0.021855276006420288,0.10287163887022244
2024-03-24 14:00:00,-0.015785985089053545,0.10894092978758918
2024-03-25 14:00:00,-0.01868051516186181,0.10604639971478091
2024-03-26 14:00:00,-0.013596539314051304,0.11113037556259142
2024-03-27 14:00:00,-0.01891724758144203,0.1058096672952007
2024-03-28 14:00:00,-0.01858956778716031,0.10613734708948241
2024-03-29 14:00:00,-0.0183921101718742,0.10633480470476853
2024-03-30 14:00:00,-0.0150405624165732,0.10968635246006952
