Date,Predicted Lower Bound_Z,Predicted Upper Bound_Z
2024-03-01 14:00:00,-0.1787400650918937,0.11544802890403302
2024-03-02 14:00:00,0.19314564331241285,0.4873337373083396
2024-03-03 14:00:00,0.29518704619808783,0.5893751401940145
2024-03-04 14:00:00,0.29649135820366046,0.5906794521995872
2024-03-05 14:00:00,0.309142386919142,0.6033304809150688
2024-03-06 14:00:00,0.27068235358572,0.5648704475816467
2024-03-07 14:00:00,0.2995948844127487,0.5937829784086753
2024-03-08 14:00:00,0.31223634579262016,0.606424439788547
2024-03-09 14:00:00,0.28884305252702125,0.583031146522948
2024-03-10 14:00:00,0.2868655219974915,0.5810536159934182
2024-03-11 14:00:00,0.2587749776132785,0.5529630716092052
2024-03-12 14:00:00,0.2465561475001084,0.5407442414960352
2024-03-13 14:00:00,0.27962015386199146,0.5738082478579182
2024-03-14 14:00:00,0.27955732042234904,0.5737454144182758
2024-03-15 14:00:00,0.25451245640194775,0.5487005503978745
2024-03-16 14:00:00,0.2944087674825585,0.5885968614784852
2024-03-17 14:00:00,0.2606897981102282,0.5548778921061549
2024-03-18 14:00:00,0.2581282517878879,0.5523163457838146
2024-03-19 14:00:00,0.2580820549153703,0.552270148911297
2024-03-20 14:00:00,0.3242788224227059,0.6184669164186327
2024-03-21 14:00:00,0.3267939383900046,0.6209820323859314
2024-03-22 14:00:00,0.3236496564586776,0.6178377504546044
2024-03-23 14:00:00,0.3161551672322037,0.6103432612281305
2024-03-24 14:00:00,0.2985746620675162,0.5927627560634429
2024-03-25 14:00:00,0.2482651496025244,0.5424532435984512
2024-03-26 14:00:00,0.2396725625231045,0.5338606565190313
2024-03-27 14:00:00,0.2379465645581365,0.5321346585540633
2024-03-28 14:00:00,0.25836320510804744,0.5525512991039742
2024-03-29 14:00:00,0.32061243463342526,0.6148005286293521
2024-03-30 14:00:00,0.30955495211517137,0.6037430461110982
